G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,,East Tennessee State,A-Sun,W,80,62,,1,0,W 1
2,Mon Nov 12 2012,REG,,Rhode Island,A-10,W,69,50,,2,0,W 2
3,Thu Nov 15 2012,REG,,Virginia Military Institute,Big South,W,95,80,,3,0,W 3
4,Mon Nov 19 2012,REG,@,North Carolina-Greensboro,Southern,W,96,87,,4,0,W 4
5,Fri Nov 23 2012,REG,,Appalachian State,Southern,W,87,76,,5,0,W 5
6,Tue Nov 27 2012,REG,,Iowa,Big Ten,W,95,79,,6,0,W 6
7,Sat Dec 1 2012,REG,,Oklahoma State,Big 12,W,81,71,,7,0,W 7
8,Sat Dec 8 2012,REG,@,West Virginia,Big 12,L,67,68,,7,1,L 1
9,Mon Dec 10 2012,REG,,Mississippi Valley State,SWAC,W,70,49,,8,1,W 1
10,Sat Dec 15 2012,REG,,Georgia Southern,Southern,L,73,78,,8,2,L 1
11,Sat Dec 22 2012,REG,N,Bradley,MVC,W,66,65,OT,9,2,W 1
12,Sun Dec 23 2012,REG,N,Colorado State,MWC,L,52,88,,9,3,L 1
13,Sat Dec 29 2012,REG,N,Brigham Young,WCC,L,71,97,,9,4,L 2
14,Sat Jan 5 2013,REG,@,Maryland,ACC,L,71,94,,9,5,L 3
15,Wed Jan 9 2013,REG,,Boston College,ACC,L,75,86,,9,6,L 4
16,Sat Jan 12 2013,REG,@,Georgia Tech,ACC,W,70,65,OT,10,6,W 1
17,Sat Jan 19 2013,REG,,Wake Forest,ACC,W,66,65,,11,6,W 2
18,Thu Jan 24 2013,REG,,Virginia,ACC,L,58,74,,11,7,L 1
19,Sun Jan 27 2013,REG,@,Clemson,ACC,L,70,77,,11,8,L 2
20,Wed Jan 30 2013,REG,,Miami (FL),ACC,L,64,73,,11,9,L 3
21,Sat Feb 2 2013,REG,@,North Carolina,ACC,L,60,72,OT,11,10,L 4
22,Thu Feb 7 2013,REG,,Maryland,ACC,L,55,60,,11,11,L 5
23,Sat Feb 9 2013,REG,,Georgia Tech,ACC,L,54,64,,11,12,L 6
24,Tue Feb 12 2013,REG,@,Virginia,ACC,L,55,73,,11,13,L 7
25,Sat Feb 16 2013,REG,@,North Carolina State,ACC,L,86,90,OT,11,14,L 8
26,Thu Feb 21 2013,REG,,Duke,ACC,L,56,88,,11,15,L 9
27,Sun Feb 24 2013,REG,,Florida State,ACC,W,80,70,,12,15,W 1
28,Wed Feb 27 2013,REG,@,Miami (FL),ACC,L,58,76,,12,16,L 1
29,Sat Mar 2 2013,REG,,Clemson,ACC,W,69,61,,13,16,W 1
30,Tue Mar 5 2013,REG,@,Duke,ACC,L,57,85,,13,17,L 1
31,Sun Mar 10 2013,REG,@,Wake Forest,ACC,L,79,90,,13,18,L 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Thu Mar 14 2013,CTOURN,N,North Carolina State,ACC,L,63,80,,13,19,L 3
