G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,George Mason,CAA,L,59,63,,0,1,L 1
2,Mon Nov 12 2012,REG,,Fairfield,MAAC,W,54,45,,1,1,W 1
3,Tue Nov 13 2012,REG,,Delaware,CAA,L,53,59,,1,2,L 1
4,Sat Nov 17 2012,REG,,Seattle,WAC,W,83,43,,2,2,W 1
5,Mon Nov 19 2012,REG,,Lamar,Southland,W,63,44,,3,2,W 2
6,Tue Nov 20 2012,REG,,North Texas,Sun Belt,W,80,64,,4,2,W 3
7,Wed Nov 28 2012,REG,@,Wisconsin,Big Ten,W,60,54,,5,2,W 4
8,Sat Dec 1 2012,REG,,Green Bay,Horizon,W,67,51,,6,2,W 5
9,Wed Dec 5 2012,REG,,Tennessee,SEC,W,46,38,,7,2,W 6
10,Sat Dec 8 2012,REG,,Mississippi Valley State,SWAC,W,67,39,,8,2,W 7
11,Wed Dec 19 2012,REG,,Morgan State,MEAC,W,75,57,,9,2,W 8
12,Sat Dec 22 2012,REG,N,Old Dominion,CAA,L,61,63,,9,3,L 1
13,Sun Dec 30 2012,REG,,Wofford,Southern,W,74,39,,10,3,W 1
14,Sun Jan 6 2013,REG,,North Carolina,ACC,W,61,52,,11,3,W 2
15,Wed Jan 9 2013,REG,@,Wake Forest,ACC,L,52,55,,11,4,L 1
16,Sat Jan 12 2013,REG,@,Clemson,ACC,L,44,59,,11,5,L 2
17,Sat Jan 19 2013,REG,,Florida State,ACC,W,56,36,,12,5,W 1
18,Thu Jan 24 2013,REG,@,Virginia Tech,ACC,W,74,58,,13,5,W 2
19,Sat Jan 26 2013,REG,,Boston College,ACC,W,65,51,,14,5,W 3
20,Tue Jan 29 2013,REG,,North Carolina State,ACC,W,58,55,,15,5,W 4
21,Sun Feb 3 2013,REG,@,Georgia Tech,ACC,L,60,66,,15,6,L 1
22,Thu Feb 7 2013,REG,,Clemson,ACC,W,78,41,,16,6,W 1
23,Sun Feb 10 2013,REG,@,Maryland,ACC,W,80,69,,17,6,W 2
24,Tue Feb 12 2013,REG,,Virginia Tech,ACC,W,73,55,,18,6,W 3
25,Sat Feb 16 2013,REG,@,North Carolina,ACC,L,81,93,,18,7,L 1
26,Tue Feb 19 2013,REG,@,Miami (FL),ACC,L,50,54,,18,8,L 2
27,Sun Feb 24 2013,REG,,Georgia Tech,ACC,W,82,54,,19,8,W 1
28,Thu Feb 28 2013,REG,,Duke,ACC,W,73,68,,20,8,W 2
29,Sun Mar 3 2013,REG,@,Boston College,ACC,L,52,53,,20,9,L 1
30,Thu Mar 7 2013,REG,@,Florida State,ACC,L,51,53,,20,10,L 2
31,Sun Mar 10 2013,REG,,Maryland,ACC,W,61,58,OT,21,10,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Fri Mar 15 2013,CTOURN,N,North Carolina State,ACC,L,56,75,,21,11,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
33,Tue Mar 19 2013,NIT,,Norfolk State,MEAC,W,67,56,,22,11,W 1
34,Sun Mar 24 2013,NIT,,St. John's (NY),Big East,W,68,50,,23,11,W 2
35,Wed Mar 27 2013,NIT,,Iowa,Big Ten,L,64,75,,23,12,L 1
