G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,,Eastern Washington,Big Sky,W,88,69,,1,0,W 1
2,Wed Nov 14 2012,REG,,Utah Valley,GWC,W,72,49,,2,0,W 2
3,Fri Nov 16 2012,REG,@,Pepperdine,WCC,L,56,58,OT,2,1,L 1
4,Mon Nov 19 2012,REG,N,Kansas,Big 12,L,41,78,,2,2,L 2
5,Tue Nov 20 2012,REG,N,Texas A&M,SEC,L,54,55,,2,3,L 3
6,Sat Nov 24 2012,REG,,Arkansas-Pine Bluff,SWAC,W,66,38,,3,3,W 1
7,Wed Nov 28 2012,REG,,Idaho,WAC,W,64,55,,4,3,W 2
8,Sat Dec 1 2012,REG,,Portland,WCC,W,72,60,,5,3,W 3
9,Wed Dec 5 2012,REG,,Gonzaga,WCC,L,69,71,,5,4,L 1
10,Sun Dec 9 2012,REG,,Fresno State,MWC,W,59,50,,6,4,W 1
11,Thu Dec 13 2012,REG,,Jackson State,SWAC,W,52,41,,7,4,W 2
12,Fri Dec 21 2012,REG,N,Buffalo,MAC,W,65,54,,8,4,W 3
13,Sat Dec 29 2012,REG,N,Idaho State,Big Sky,W,74,39,,9,4,W 4
14,Sat Jan 5 2013,REG,,Washington,Pac-12,L,63,68,,9,5,L 1
15,Wed Jan 9 2013,REG,@,Stanford,Pac-12,L,67,78,,9,6,L 2
16,Sat Jan 12 2013,REG,@,California,Pac-12,L,54,67,,9,7,L 3
17,Wed Jan 16 2013,REG,,Utah,Pac-12,W,75,65,,10,7,W 1
18,Sat Jan 19 2013,REG,,Colorado,Pac-12,L,49,58,,10,8,L 1
19,Wed Jan 23 2013,REG,@,Oregon,Pac-12,L,61,68,,10,9,L 2
20,Sat Jan 26 2013,REG,@,Oregon State,Pac-12,W,71,68,,11,9,W 1
21,Thu Jan 31 2013,REG,,Arizona State,Pac-12,L,59,63,,11,10,L 1
22,Sat Feb 2 2013,REG,,Arizona,Pac-12,L,65,79,,11,11,L 2
23,Thu Feb 7 2013,REG,@,Southern California,Pac-12,L,68,72,,11,12,L 3
24,Sat Feb 9 2013,REG,@,UCLA,Pac-12,L,62,76,,11,13,L 4
25,Wed Feb 13 2013,REG,,Oregon State,Pac-12,L,66,67,,11,14,L 5
26,Sat Feb 16 2013,REG,,Oregon,Pac-12,L,77,79,OT,11,15,L 6
27,Wed Feb 20 2013,REG,@,Arizona State,Pac-12,L,57,69,,11,16,L 7
28,Sat Feb 23 2013,REG,@,Arizona,Pac-12,L,56,73,,11,17,L 8
29,Sun Mar 3 2013,REG,@,Washington,Pac-12,L,68,72,,11,18,L 9
30,Wed Mar 6 2013,REG,,UCLA,Pac-12,W,73,61,,12,18,W 1
31,Sat Mar 9 2013,REG,,Southern California,Pac-12,W,76,51,,13,18,W 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Wed Mar 13 2013,CTOURN,N,Washington,Pac-12,L,62,64,,13,19,L 1
