G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sun Nov 11 2012,REG,,Loyola (MD),MAAC,W,85,63,,1,0,W 1
2,Tue Nov 13 2012,REG,,Albany (NY),AEC,L,62,63,,1,1,L 1
3,Sat Nov 17 2012,REG,N,Seton Hall,Big East,W,84,73,OT,2,1,W 1
4,Sun Nov 18 2012,REG,N,Ohio State,Big Ten,L,66,77,,2,2,L 1
5,Sat Nov 24 2012,REG,,Colorado State,MWC,L,55,73,,2,3,L 2
6,Wed Nov 28 2012,REG,,Saint Louis,A-10,W,66,61,,3,3,W 1
7,Sun Dec 2 2012,REG,,Cal State Fullerton,Big West,W,74,72,,4,3,W 2
8,Sat Dec 8 2012,REG,,Nevada,MWC,L,73,76,,4,4,L 1
9,Thu Dec 13 2012,REG,@,Seattle,WAC,W,87,74,,5,4,W 1
10,Sat Dec 15 2012,REG,,Jackson State,SWAC,W,75,67,,6,4,W 2
11,Thu Dec 20 2012,REG,,Cal Poly,Big West,W,75,62,,7,4,W 3
12,Sat Dec 22 2012,REG,,Northern Illinois,MAC,W,67,57,,8,4,W 4
13,Sat Dec 29 2012,REG,@,Connecticut,Big East,L,53,61,,8,5,L 1
14,Sat Jan 5 2013,REG,@,Washington State,Pac-12,W,68,63,,9,5,W 1
15,Wed Jan 9 2013,REG,@,California,Pac-12,W,62,47,,10,5,W 2
16,Sat Jan 12 2013,REG,@,Stanford,Pac-12,W,65,60,,11,5,W 3
17,Wed Jan 16 2013,REG,,Colorado,Pac-12,W,64,54,,12,5,W 4
18,Sat Jan 19 2013,REG,,Utah,Pac-12,L,65,74,,12,6,L 1
19,Wed Jan 23 2013,REG,@,Oregon State,Pac-12,L,66,74,,12,7,L 2
20,Sat Jan 26 2013,REG,@,Oregon,Pac-12,L,76,81,,12,8,L 3
21,Thu Jan 31 2013,REG,,Arizona,Pac-12,L,53,57,,12,9,L 4
22,Sat Feb 2 2013,REG,,Arizona State,Pac-12,W,96,92,,13,9,W 1
23,Thu Feb 7 2013,REG,@,UCLA,Pac-12,L,57,59,,13,10,L 1
24,Sun Feb 10 2013,REG,@,Southern California,Pac-12,L,60,71,,13,11,L 2
25,Wed Feb 13 2013,REG,,Oregon,Pac-12,L,52,65,,13,12,L 3
26,Sat Feb 16 2013,REG,,Oregon State,Pac-12,W,72,62,,14,12,W 1
27,Wed Feb 20 2013,REG,@,Arizona,Pac-12,L,52,70,,14,13,L 1
28,Sat Feb 23 2013,REG,@,Arizona State,Pac-12,W,68,59,,15,13,W 1
29,Sun Mar 3 2013,REG,,Washington State,Pac-12,W,72,68,,16,13,W 2
30,Wed Mar 6 2013,REG,,Southern California,Pac-12,W,65,57,,17,13,W 3
31,Sat Mar 9 2013,REG,,UCLA,Pac-12,L,54,61,,17,14,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Wed Mar 13 2013,CTOURN,N,Washington State,Pac-12,W,64,62,,18,14,W 1
33,Thu Mar 14 2013,CTOURN,N,Oregon,Pac-12,L,77,80,OT,18,15,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
34,Tue Mar 19 2013,NIT,@,Brigham Young,WCC,L,79,90,,18,16,L 2
