G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Arizona Christian,,W,110,52,,1,0,W 1
2,Thu Nov 15 2012,REG,@,San Jose State,WAC,L,67,68,OT,1,1,L 1
3,Sat Nov 24 2012,REG,@,Utah State,WAC,L,55,65,,1,2,L 2
4,Wed Nov 28 2012,REG,@,Dayton,A-10,W,62,61,,2,2,W 1
5,Wed Dec 5 2012,REG,,Utah Valley,GWC,W,89,56,,3,2,W 2
6,Sat Dec 8 2012,REG,,California-Irvine,Big West,W,65,51,,4,2,W 3
7,Sat Dec 15 2012,REG,,Brigham Young,WCC,L,68,78,,4,3,L 1
8,Thu Dec 20 2012,REG,@,Eastern Washington,Big Sky,W,74,53,,5,3,W 1
9,Sat Dec 22 2012,REG,@,Portland State,Big Sky,W,73,69,OT,6,3,W 2
10,Sat Dec 29 2012,REG,,University of the Southwest,,W,110,45,,7,3,W 3
11,Thu Jan 3 2013,REG,,Northern Colorado,Big Sky,W,79,54,,8,3,W 4
12,Sat Jan 5 2013,REG,,North Dakota,Big Sky,W,95,63,,9,3,W 5
13,Thu Jan 10 2013,REG,@,Southern Utah,Big Sky,W,81,74,,10,3,W 6
14,Mon Jan 14 2013,REG,@,Idaho State,Big Sky,W,70,54,,11,3,W 7
15,Thu Jan 17 2013,REG,,Northern Arizona,Big Sky,W,83,70,,12,3,W 8
16,Sat Jan 19 2013,REG,,Sacramento State,Big Sky,W,65,56,,13,3,W 9
17,Thu Jan 24 2013,REG,@,Montana State,Big Sky,L,74,79,,13,4,L 1
18,Sat Jan 26 2013,REG,@,Montana,Big Sky,L,74,76,,13,5,L 2
19,Thu Jan 31 2013,REG,@,North Dakota,Big Sky,W,66,51,,14,5,W 1
20,Sat Feb 2 2013,REG,@,Northern Colorado,Big Sky,W,85,64,,15,5,W 2
21,Sat Feb 9 2013,REG,,Southern Utah,Big Sky,W,75,58,,16,5,W 3
22,Mon Feb 11 2013,REG,,Idaho State,Big Sky,W,56,40,,17,5,W 4
23,Thu Feb 14 2013,REG,,Montana,Big Sky,W,87,63,,18,5,W 5
24,Sat Feb 16 2013,REG,,Montana State,Big Sky,W,69,61,,19,5,W 6
25,Sat Feb 23 2013,REG,@,Oral Roberts,Southland,W,70,66,,20,5,W 7
26,Thu Feb 28 2013,REG,@,Sacramento State,Big Sky,W,70,55,,21,5,W 8
27,Sat Mar 2 2013,REG,@,Northern Arizona,Big Sky,W,80,78,OT,22,5,W 9
28,Thu Mar 7 2013,REG,,Portland State,Big Sky,W,80,52,,23,5,W 10
29,Sat Mar 9 2013,REG,,Eastern Washington,Big Sky,W,65,57,,24,5,W 11
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Thu Mar 14 2013,CTOURN,N,Northern Arizona,Big Sky,W,84,58,,25,5,W 12
31,Fri Mar 15 2013,CTOURN,N,North Dakota,Big Sky,W,76,74,,26,5,W 13
32,Sat Mar 16 2013,CTOURN,@,Montana,Big Sky,L,64,67,,26,6,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
33,Wed Mar 20 2013,CIT,,Cal Poly,Big West,W,85,43,,27,6,W 1
34,Sat Mar 23 2013,CIT,,Air Force,MWC,W,78,57,,28,6,W 2
35,Wed Mar 27 2013,CIT,,Oral Roberts,Southland,W,83,74,,29,6,W 3
36,Sat Mar 30 2013,CIT,@,Northern Iowa,MVC,W,59,56,,30,6,W 4
37,Tue Apr 2 2013,CIT,,East Carolina,CUSA,L,74,77,,30,7,L 1
