G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Mon Nov 12 2012,REG,@,Gonzaga,WCC,L,50,84,,0,1,L 1
2,Thu Nov 22 2012,REG,N,Marist,MAAC,W,87,44,,1,1,W 1
3,Fri Nov 23 2012,REG,N,Davidson,Southern,L,60,63,,1,2,L 1
4,Sun Nov 25 2012,REG,N,Oklahoma,Big 12,L,70,77,,1,3,L 2
5,Wed Nov 28 2012,REG,,Virginia Military Institute,Big South,W,94,69,,2,3,W 1
6,Wed Dec 5 2012,REG,N,Marshall,CUSA,W,69,59,,3,3,W 2
7,Sat Dec 8 2012,REG,,Virginia Tech,ACC,W,68,67,,4,3,W 3
8,Tue Dec 11 2012,REG,@,Duquesne,A-10,L,56,60,,4,4,L 1
9,Sat Dec 15 2012,REG,N,Michigan,Big Ten,L,66,81,,4,5,L 2
10,Wed Dec 19 2012,REG,,Oakland,Summit,W,76,71,,5,5,W 1
11,Sat Dec 22 2012,REG,,Radford,Big South,W,72,62,,6,5,W 2
12,Sun Dec 30 2012,REG,,Eastern Kentucky,OVC,W,74,67,,7,5,W 3
13,Sat Jan 5 2013,REG,,Oklahoma,Big 12,L,57,67,,7,6,L 1
14,Wed Jan 9 2013,REG,@,Texas,Big 12,W,57,53,OT,8,6,W 1
15,Sat Jan 12 2013,REG,,Kansas State,Big 12,L,64,65,,8,7,L 1
16,Wed Jan 16 2013,REG,@,Iowa State,Big 12,L,67,69,,8,8,L 2
17,Sat Jan 19 2013,REG,@,Purdue,Big Ten,L,52,79,,8,9,L 3
18,Wed Jan 23 2013,REG,,Texas Christian,Big 12,W,71,50,,9,9,W 1
19,Sat Jan 26 2013,REG,@,Oklahoma State,Big 12,L,66,80,,9,10,L 1
20,Mon Jan 28 2013,REG,,Kansas,Big 12,L,56,61,,9,11,L 2
21,Sat Feb 2 2013,REG,@,Texas Tech,Big 12,W,77,61,,10,11,W 1
22,Mon Feb 4 2013,REG,,Texas,Big 12,W,60,58,,11,11,W 2
23,Sat Feb 9 2013,REG,@,Texas Christian,Big 12,W,63,50,,12,11,W 3
24,Wed Feb 13 2013,REG,@,Baylor,Big 12,L,60,80,,12,12,L 1
25,Sat Feb 16 2013,REG,,Texas Tech,Big 12,W,66,64,,13,12,W 1
26,Mon Feb 18 2013,REG,@,Kansas State,Big 12,L,61,71,,13,13,L 1
27,Sat Feb 23 2013,REG,,Oklahoma State,Big 12,L,57,73,,13,14,L 2
28,Wed Feb 27 2013,REG,,Baylor,Big 12,L,62,65,,13,15,L 3
29,Sat Mar 2 2013,REG,@,Kansas,Big 12,L,65,91,,13,16,L 4
30,Wed Mar 6 2013,REG,@,Oklahoma,Big 12,L,70,83,,13,17,L 5
31,Sat Mar 9 2013,REG,,Iowa State,Big 12,L,74,83,,13,18,L 6
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Wed Mar 13 2013,CTOURN,N,Texas Tech,Big 12,L,69,71,,13,19,L 7
