G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,North Carolina-Asheville,Big South,L,61,71,,0,1,L 1
2,Sun Nov 11 2012,REG,,Mars Hill,,W,95,68,,1,1,W 1
3,Thu Nov 15 2012,REG,@,Wichita State,MVC,L,63,79,,1,2,L 1
4,Sat Nov 17 2012,REG,@,Western Kentucky,Sun Belt,L,81,92,,1,3,L 2
5,Tue Nov 20 2012,REG,N,Austin Peay,OVC,L,71,72,,1,4,L 3
6,Wed Nov 21 2012,REG,N,Howard,MEAC,W,69,67,,2,4,W 1
7,Wed Nov 28 2012,REG,@,Furman,Southern,W,79,65,,3,4,W 2
8,Sat Dec 1 2012,REG,@,Eastern Kentucky,OVC,L,70,72,,3,5,L 1
9,Tue Dec 4 2012,REG,@,Illinois,Big Ten,L,64,72,,3,6,L 2
10,Sat Dec 8 2012,REG,,Appalachian State,Southern,W,70,64,,4,6,W 1
11,Sat Dec 15 2012,REG,@,Georgetown,Big East,L,68,81,,4,7,L 1
12,Fri Dec 21 2012,REG,@,Tennessee,SEC,L,52,66,,4,8,L 2
13,Mon Dec 31 2012,REG,,Liberty,Big South,L,62,63,,4,9,L 3
14,Sat Jan 5 2013,REG,@,Citadel,Southern,W,72,55,,5,9,W 1
15,Mon Jan 7 2013,REG,,Warren Wilson,,W,78,53,,6,9,W 2
16,Sat Jan 12 2013,REG,,North Carolina-Greensboro,Southern,W,62,59,,7,9,W 3
17,Mon Jan 14 2013,REG,,Elon,Southern,L,67,80,,7,10,L 1
18,Thu Jan 17 2013,REG,@,Samford,Southern,L,60,64,,7,11,L 2
19,Sat Jan 19 2013,REG,@,Chattanooga,Southern,W,90,81,,8,11,W 1
20,Thu Jan 24 2013,REG,,Davidson,Southern,L,74,79,,8,12,L 1
21,Sat Jan 26 2013,REG,,Georgia Southern,Southern,L,66,72,,8,13,L 2
22,Sat Feb 2 2013,REG,@,Appalachian State,Southern,L,65,74,,8,14,L 3
23,Thu Feb 7 2013,REG,@,Davidson,Southern,L,59,73,,8,15,L 4
24,Sat Feb 9 2013,REG,@,Georgia Southern,Southern,W,71,62,,9,15,W 1
25,Mon Feb 11 2013,REG,,Wofford,Southern,W,57,56,,10,15,W 2
26,Thu Feb 14 2013,REG,@,North Carolina-Greensboro,Southern,W,70,68,,11,15,W 3
27,Sat Feb 16 2013,REG,@,Elon,Southern,L,73,80,OT,11,16,L 1
28,Wed Feb 20 2013,REG,,College of Charleston,Southern,L,65,67,,11,17,L 2
29,Sat Feb 23 2013,REG,,Coastal Carolina,Big South,W,80,70,,12,17,W 1
30,Thu Feb 28 2013,REG,,Chattanooga,Southern,L,72,81,,12,18,L 1
31,Sat Mar 2 2013,REG,,Samford,Southern,W,56,54,OT,13,18,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Fri Mar 8 2013,CTOURN,N,Citadel,Southern,W,76,61,,14,18,W 2
33,Sat Mar 9 2013,CTOURN,N,College of Charleston,Southern,L,70,78,,14,19,L 1
