G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,,Wabash,,W,71,39,,1,0,W 1
2,Wed Nov 14 2012,REG,@,Southern Illinois-Edwardsville,OVC,L,50,62,,1,1,L 1
3,Fri Nov 16 2012,REG,N,Buffalo,MAC,W,67,58,,2,1,W 1
4,Sat Nov 17 2012,REG,N,Evansville,MVC,L,44,49,,2,2,L 1
5,Sun Nov 18 2012,REG,N,Yale,Ivy,W,59,47,,3,2,W 1
6,Sat Nov 24 2012,REG,@,Savannah State,MEAC,L,38,39,,3,3,L 1
7,Thu Nov 29 2012,REG,@,South Dakota,Summit,W,73,71,,4,3,W 1
8,Sat Dec 1 2012,REG,@,Missouri-Kansas City,Summit,W,68,63,,5,3,W 2
9,Wed Dec 5 2012,REG,@,Eastern Illinois,OVC,W,57,45,,6,3,W 3
10,Sat Dec 8 2012,REG,,Southern Illinois-Edwardsville,OVC,W,55,38,,7,3,W 4
11,Tue Dec 18 2012,REG,,Illinois-Chicago,Horizon,W,70,54,,8,3,W 5
12,Thu Dec 27 2012,REG,,Oakland,Summit,W,73,63,,9,3,W 6
13,Sat Dec 29 2012,REG,,IPFW,Summit,W,62,50,,10,3,W 7
14,Wed Jan 2 2013,REG,,Savannah State,MEAC,W,39,35,,11,3,W 8
15,Sat Jan 5 2013,REG,,IUPUI,Summit,W,57,53,OT,12,3,W 9
16,Wed Jan 9 2013,REG,,Greenville (IL),,W,95,48,,13,3,W 10
17,Sat Jan 12 2013,REG,@,Nebraska-Omaha,Summit,W,89,74,,14,3,W 11
18,Thu Jan 17 2013,REG,,South Dakota State,Summit,L,53,59,,14,4,L 1
19,Sat Jan 19 2013,REG,,North Dakota State,Summit,W,50,42,,15,4,W 1
20,Thu Jan 24 2013,REG,@,IPFW,Summit,W,43,40,,16,4,W 2
21,Sat Jan 26 2013,REG,@,Oakland,Summit,L,60,67,,16,5,L 1
22,Sat Feb 2 2013,REG,@,IUPUI,Summit,W,68,59,,17,5,W 1
23,Thu Feb 7 2013,REG,,Nebraska-Omaha,Summit,W,68,50,,18,5,W 2
24,Thu Feb 14 2013,REG,@,North Dakota State,Summit,W,49,36,,19,5,W 3
25,Sat Feb 16 2013,REG,@,South Dakota State,Summit,L,55,64,,19,6,L 1
26,Sat Feb 23 2013,REG,,Cleveland State,Horizon,L,54,60,,19,7,L 2
27,Thu Feb 28 2013,REG,,Missouri-Kansas City,Summit,W,53,50,,20,7,W 1
28,Sat Mar 2 2013,REG,,South Dakota,Summit,W,61,59,,21,7,W 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
29,Sat Mar 9 2013,CTOURN,N,South Dakota,Summit,W,54,53,,22,7,W 3
30,Mon Mar 11 2013,CTOURN,N,North Dakota State,Summit,L,43,55,,22,8,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Wed Mar 20 2013,CBI,@,Purdue,Big Ten,L,67,81,,22,9,L 2
