G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,@,Southern Mississippi,CUSA,L,64,67,OT,0,1,L 1
2,Tue Nov 13 2012,REG,,Austin Peay,OVC,W,74,54,,1,1,W 1
3,Sat Nov 17 2012,REG,,Western Carolina,Southern,W,92,81,,2,1,W 2
4,Tue Nov 20 2012,REG,N,Iowa,Big Ten,L,55,63,,2,2,L 1
5,Wed Nov 21 2012,REG,N,DePaul,Big East,W,70,61,,3,2,W 1
6,Sat Nov 24 2012,REG,,Brescia,,W,74,46,,4,2,W 2
7,Thu Nov 29 2012,REG,@,Louisiana-Monroe,Sun Belt,W,65,54,,5,2,W 3
8,Sat Dec 1 2012,REG,@,Troy,Sun Belt,W,75,71,,6,2,W 4
9,Wed Dec 5 2012,REG,,Southern Illinois,MVC,W,58,57,,7,2,W 5
10,Sat Dec 8 2012,REG,,IUPUI,Summit,W,77,57,,8,2,W 6
11,Sun Dec 16 2012,REG,@,Murray State,OVC,L,70,75,,8,3,L 1
12,Tue Dec 18 2012,REG,@,Virginia Commonwealth,A-10,L,44,76,,8,4,L 2
13,Sat Dec 22 2012,REG,N,Louisville,Big East,L,55,78,,8,5,L 3
14,Thu Dec 27 2012,REG,,Florida International,Sun Belt,W,76,63,,9,5,W 1
15,Sat Dec 29 2012,REG,,North Texas,Sun Belt,W,70,64,,10,5,W 2
16,Thu Jan 3 2013,REG,@,Arkansas-Little Rock,Sun Belt,L,67,75,,10,6,L 1
17,Sat Jan 5 2013,REG,@,Arkansas State,Sun Belt,L,61,75,,10,7,L 2
18,Sat Jan 12 2013,REG,,Florida Atlantic,Sun Belt,L,62,65,,10,8,L 3
19,Thu Jan 17 2013,REG,,Louisiana-Lafayette,Sun Belt,W,72,49,,11,8,W 1
20,Sat Jan 19 2013,REG,,Arkansas-Little Rock,Sun Belt,L,54,59,,11,9,L 1
21,Thu Jan 24 2013,REG,@,South Alabama,Sun Belt,L,57,65,,11,10,L 2
22,Sat Jan 26 2013,REG,@,Middle Tennessee,Sun Belt,L,53,72,,11,11,L 3
23,Thu Jan 31 2013,REG,,Troy,Sun Belt,W,65,61,,12,11,W 1
24,Thu Feb 7 2013,REG,@,North Texas,Sun Belt,W,70,59,,13,11,W 2
25,Sat Feb 9 2013,REG,,Arkansas State,Sun Belt,L,49,67,,13,12,L 1
26,Thu Feb 14 2013,REG,@,Florida Atlantic,Sun Belt,L,78,84,,13,13,L 2
27,Sat Feb 16 2013,REG,@,Florida International,Sun Belt,L,82,87,,13,14,L 3
28,Thu Feb 21 2013,REG,,Louisiana-Monroe,Sun Belt,W,75,57,,14,14,W 1
29,Sat Feb 23 2013,REG,@,Louisiana-Lafayette,Sun Belt,W,88,77,,15,14,W 2
30,Thu Feb 28 2013,REG,,South Alabama,Sun Belt,W,79,73,,16,14,W 3
31,Sat Mar 2 2013,REG,,Middle Tennessee,Sun Belt,L,62,70,,16,15,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Fri Mar 8 2013,CTOURN,N,Louisiana-Monroe,Sun Belt,W,74,60,,17,15,W 1
33,Sat Mar 9 2013,CTOURN,N,South Alabama,Sun Belt,W,62,59,,18,15,W 2
34,Sun Mar 10 2013,CTOURN,N,Arkansas State,Sun Belt,W,58,56,,19,15,W 3
35,Mon Mar 11 2013,CTOURN,N,Florida International,Sun Belt,W,65,63,,20,15,W 4
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
36,Fri Mar 22 2013,NCAA,N,Kansas,Big 12,L,57,64,,20,16,L 1
