G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,@,Cornell,Ivy,L,55,63,,0,1,L 1
2,Tue Nov 13 2012,REG,,Marygrove,,W,85,40,,1,1,W 1
3,Fri Nov 16 2012,REG,N,Loyola (IL),Horizon,W,81,71,,2,1,W 2
4,Sat Nov 17 2012,REG,N,Maryland-Eastern Shore,MEAC,W,68,51,,3,1,W 3
5,Sun Nov 18 2012,REG,@,South Florida,Big East,W,58,53,,4,1,W 4
6,Thu Nov 29 2012,REG,,High Point,Big South,W,54,53,,5,1,W 5
7,Sat Dec 1 2012,REG,,Oakland,Summit,W,76,72,,6,1,W 6
8,Tue Dec 4 2012,REG,@,Michigan,Big Ten,L,41,73,,6,2,L 1
9,Sat Dec 8 2012,REG,@,Illinois State,MVC,L,63,85,,6,3,L 2
10,Sun Dec 16 2012,REG,@,High Point,Big South,W,70,64,,7,3,W 1
11,Wed Dec 19 2012,REG,@,Duquesne,A-10,L,66,71,,7,4,L 1
12,Sat Dec 22 2012,REG,,Mount St. Mary's,NEC,W,87,66,,8,4,W 1
13,Sat Dec 29 2012,REG,@,North Carolina State,ACC,L,68,84,,8,5,L 1
14,Wed Jan 9 2013,REG,@,Akron,MAC,L,43,65,,8,6,L 2
15,Sat Jan 12 2013,REG,,Ohio,MAC,L,59,61,,8,7,L 3
16,Wed Jan 16 2013,REG,,Toledo,MAC,W,79,56,,9,7,W 1
17,Sat Jan 19 2013,REG,@,Northern Illinois,MAC,W,71,34,,10,7,W 2
18,Wed Jan 23 2013,REG,,Eastern Michigan,MAC,W,63,59,,11,7,W 3
19,Sat Jan 26 2013,REG,@,Central Michigan,MAC,W,76,59,,12,7,W 4
20,Wed Jan 30 2013,REG,@,Miami (OH),MAC,W,72,68,,13,7,W 5
21,Sat Feb 2 2013,REG,,Buffalo,MAC,W,71,60,,14,7,W 6
22,Wed Feb 6 2013,REG,,Kent State,MAC,W,82,76,,15,7,W 7
23,Sat Feb 9 2013,REG,@,Ball State,MAC,L,62,65,,15,8,L 1
24,Wed Feb 13 2013,REG,@,Bowling Green State,MAC,L,60,70,,15,9,L 2
25,Sat Feb 16 2013,REG,,Northern Illinois,MAC,W,66,58,,16,9,W 1
26,Sat Feb 23 2013,REG,,Pacific,Big West,W,67,62,,17,9,W 2
27,Wed Feb 27 2013,REG,@,Toledo,MAC,W,65,62,,18,9,W 3
28,Sat Mar 2 2013,REG,@,Eastern Michigan,MAC,L,49,50,OT,18,10,L 1
29,Tue Mar 5 2013,REG,,Ball State,MAC,L,85,89,,18,11,L 2
30,Sat Mar 9 2013,REG,,Central Michigan,MAC,W,71,68,,19,11,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Thu Mar 14 2013,CTOURN,N,Eastern Michigan,MAC,W,70,55,,20,11,W 2
32,Fri Mar 15 2013,CTOURN,N,Ohio,MAC,L,63,74,,20,12,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
33,Wed Mar 20 2013,CBI,,North Dakota State,Summit,W,72,71,OT,21,12,W 1
34,Mon Mar 25 2013,CBI,@,Wyoming,MWC,W,75,67,OT,22,12,W 2
35,Wed Mar 27 2013,CBI,@,George Mason,CAA,L,52,62,,22,13,L 1
