G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,,North Carolina Central,MEAC,W,71,57,,1,0,W 1
2,Tue Nov 13 2012,REG,@,Virginia Commonwealth,A-10,W,53,51,,2,0,W 2
3,Thu Nov 15 2012,REG,,Western Carolina,Southern,W,79,63,,3,0,W 3
4,Sat Nov 17 2012,REG,,Howard,MEAC,W,69,50,,4,0,W 4
5,Tue Nov 20 2012,REG,N,DePaul,Big East,W,75,62,,5,0,W 5
6,Wed Nov 21 2012,REG,N,Iowa,Big Ten,W,75,63,,6,0,W 6
7,Wed Nov 28 2012,REG,,Tulsa,CUSA,W,86,60,,7,0,W 7
8,Sun Dec 2 2012,REG,@,Air Force,MWC,W,72,69,,8,0,W 8
9,Sat Dec 8 2012,REG,,Northern Colorado,Big Sky,W,80,54,,9,0,W 9
10,Thu Dec 13 2012,REG,@,Tennessee,SEC,L,60,69,,9,1,L 1
11,Thu Dec 20 2012,REG,,Charleston Southern,Big South,W,65,53,,10,1,W 1
12,Sat Dec 22 2012,REG,N,Southern Mississippi,CUSA,W,59,51,,11,1,W 2
13,Sun Dec 30 2012,REG,,Northern Iowa,MVC,W,66,41,,12,1,W 3
14,Wed Jan 2 2013,REG,@,Drake,MVC,W,75,63,,13,1,W 4
15,Sun Jan 6 2013,REG,@,Bradley,MVC,W,69,63,,14,1,W 5
16,Wed Jan 9 2013,REG,,Southern Illinois,MVC,W,82,76,,15,1,W 6
17,Sun Jan 13 2013,REG,@,Evansville,MVC,L,67,71,,15,2,L 1
18,Wed Jan 16 2013,REG,,Illinois State,MVC,W,74,62,,16,2,W 1
19,Sat Jan 19 2013,REG,,Creighton,MVC,W,67,64,,17,2,W 2
20,Wed Jan 23 2013,REG,@,Missouri State,MVC,W,62,52,,18,2,W 3
21,Sat Jan 26 2013,REG,,Bradley,MVC,W,73,39,,19,2,W 4
22,Tue Jan 29 2013,REG,,Indiana State,MVC,L,55,68,,19,3,L 1
23,Sat Feb 2 2013,REG,@,Northern Iowa,MVC,L,52,57,,19,4,L 2
24,Tue Feb 5 2013,REG,@,Southern Illinois,MVC,L,62,64,,19,5,L 3
25,Sat Feb 9 2013,REG,,Missouri State,MVC,W,79,50,,20,5,W 1
26,Wed Feb 13 2013,REG,,Drake,MVC,W,71,56,,21,5,W 2
27,Sun Feb 17 2013,REG,@,Illinois State,MVC,W,68,67,,22,5,W 3
28,Tue Feb 19 2013,REG,@,Indiana State,MVC,W,66,62,,23,5,W 4
29,Sat Feb 23 2013,REG,,Detroit Mercy,Horizon,W,94,79,,24,5,W 5
30,Wed Feb 27 2013,REG,,Evansville,MVC,L,56,59,,24,6,L 1
31,Sat Mar 2 2013,REG,@,Creighton,MVC,L,79,91,,24,7,L 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Fri Mar 8 2013,CTOURN,N,Missouri State,MVC,W,69,59,,25,7,W 1
33,Sat Mar 9 2013,CTOURN,N,Illinois State,MVC,W,66,51,,26,7,W 2
34,Sun Mar 10 2013,CTOURN,N,Creighton,MVC,L,65,68,,26,8,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
35,Thu Mar 21 2013,NCAA,N,Pittsburgh,Big East,W,73,55,,27,8,W 1
36,Sat Mar 23 2013,NCAA,N,Gonzaga,WCC,W,76,70,,28,8,W 2
37,Thu Mar 28 2013,NCAA,N,La Salle,A-10,W,72,58,,29,8,W 3
38,Sat Mar 30 2013,NCAA,N,Ohio State,Big Ten,W,70,66,,30,8,W 4
39,Sat Apr 6 2013,NCAA,N,Louisville,Big East,L,68,72,,30,9,L 1
