G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Hampton,MEAC,W,69,51,,1,0,W 1
2,Mon Nov 12 2012,REG,@,Liberty,Big South,W,71,59,,2,0,W 2
3,Sat Nov 17 2012,REG,@,High Point,Big South,W,83,61,,3,0,W 3
4,Wed Nov 21 2012,REG,,Miami (OH),MAC,L,59,72,,3,1,L 1
5,Fri Nov 23 2012,REG,@,Wake Forest,ACC,L,57,63,,3,2,L 2
6,Wed Nov 28 2012,REG,@,Richmond,A-10,L,78,86,2OT,3,3,L 3
7,Sat Dec 1 2012,REG,,Old Dominion,CAA,W,71,62,,4,3,W 1
8,Thu Dec 6 2012,REG,,Howard,MEAC,W,78,69,,5,3,W 2
9,Sat Dec 8 2012,REG,@,Radford,Big South,W,60,55,,6,3,W 3
10,Fri Dec 21 2012,REG,,Salisbury,,W,82,49,,7,3,W 4
11,Sat Dec 29 2012,REG,@,Purdue,Big Ten,L,66,73,,7,4,L 1
12,Wed Jan 2 2013,REG,@,Vanderbilt,SEC,L,50,64,,7,5,L 2
13,Sat Jan 5 2013,REG,,George Mason,CAA,L,66,73,,7,6,L 3
14,Wed Jan 9 2013,REG,@,Towson,CAA,L,86,99,2OT,7,7,L 4
15,Sat Jan 12 2013,REG,@,Hofstra,CAA,L,59,70,,7,8,L 5
16,Wed Jan 16 2013,REG,@,Georgia State,CAA,L,58,74,,7,9,L 6
17,Sat Jan 19 2013,REG,,Drexel,CAA,L,48,59,,7,10,L 7
18,Wed Jan 23 2013,REG,@,Northeastern,CAA,L,91,95,2OT,7,11,L 8
19,Sat Jan 26 2013,REG,,Towson,CAA,W,63,56,,8,11,W 1
20,Wed Jan 30 2013,REG,@,Delaware,CAA,L,56,66,,8,12,L 1
21,Sat Feb 2 2013,REG,,Hofstra,CAA,W,72,59,,9,12,W 1
22,Wed Feb 6 2013,REG,@,James Madison,CAA,L,71,81,,9,13,L 1
23,Mon Feb 11 2013,REG,,Northeastern,CAA,L,64,68,,9,14,L 2
24,Wed Feb 13 2013,REG,,North Carolina-Wilmington,CAA,W,92,86,,10,14,W 1
25,Sat Feb 16 2013,REG,@,Old Dominion,CAA,W,74,62,,11,14,W 2
26,Mon Feb 18 2013,REG,,Georgia State,CAA,W,75,63,,12,14,W 3
27,Sat Feb 23 2013,REG,@,George Mason,CAA,L,58,60,,12,15,L 1
28,Wed Feb 27 2013,REG,@,North Carolina-Wilmington,CAA,W,73,72,,13,15,W 1
29,Sat Mar 2 2013,REG,,James Madison,CAA,L,67,69,,13,16,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Sat Mar 9 2013,CTOURN,N,James Madison,CAA,L,67,72,,13,17,L 2
