G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,,St. Andrews,,W,80,48,,1,0,W 1
2,Tue Nov 13 2012,REG,@,Indiana State,MVC,L,55,66,,1,1,L 1
3,Sat Nov 17 2012,REG,,Virginia Commonwealth,A-10,L,54,90,,1,2,L 2
4,Tue Nov 20 2012,REG,,Lenoir-Rhyne,,W,59,35,,2,2,W 1
5,Wed Nov 28 2012,REG,@,Wofford,Southern,L,55,70,,2,3,L 1
6,Sat Dec 1 2012,REG,@,James Madison,CAA,L,61,71,,2,4,L 2
7,Tue Dec 4 2012,REG,,Brevard,,W,77,54,,3,4,W 1
8,Sat Dec 15 2012,REG,@,Ohio,MAC,W,50,49,,4,4,W 2
9,Tue Dec 18 2012,REG,@,Ohio State,Big Ten,L,55,65,,4,5,L 1
10,Sat Dec 22 2012,REG,@,Auburn,SEC,W,74,67,,5,5,W 1
11,Sun Dec 30 2012,REG,,Hampton,MEAC,W,50,43,,6,5,W 2
12,Wed Jan 2 2013,REG,,North Carolina Central,MEAC,L,57,64,,6,6,L 1
13,Sat Jan 5 2013,REG,,High Point,Big South,L,61,74,,6,7,L 2
14,Wed Jan 9 2013,REG,@,Charleston Southern,Big South,L,63,75,,6,8,L 3
15,Sat Jan 12 2013,REG,@,Virginia Military Institute,Big South,L,54,72,,6,9,L 4
16,Wed Jan 16 2013,REG,,Presbyterian,Big South,W,62,51,,7,9,W 1
17,Sat Jan 19 2013,REG,@,Campbell,Big South,L,59,63,,7,10,L 1
18,Wed Jan 23 2013,REG,,Gardner-Webb,Big South,W,61,55,,8,10,W 1
19,Sat Jan 26 2013,REG,@,Radford,Big South,L,57,58,,8,11,L 1
20,Wed Jan 30 2013,REG,,Coastal Carolina,Big South,W,61,48,,9,11,W 1
21,Sat Feb 2 2013,REG,,Liberty,Big South,W,66,56,,10,11,W 2
22,Wed Feb 6 2013,REG,@,North Carolina-Asheville,Big South,L,56,69,,10,12,L 1
23,Sat Feb 9 2013,REG,,Longwood,Big South,L,56,62,,10,13,L 2
24,Wed Feb 13 2013,REG,,Charleston Southern,Big South,W,70,65,,11,13,W 1
25,Sat Feb 16 2013,REG,@,Presbyterian,Big South,L,57,64,,11,14,L 1
26,Tue Feb 19 2013,REG,@,Gardner-Webb,Big South,L,52,65,,11,15,L 2
27,Sat Feb 23 2013,REG,,Southeastern Louisiana,Southland,W,66,52,,12,15,W 1
28,Wed Feb 27 2013,REG,@,Coastal Carolina,Big South,L,54,73,,12,16,L 1
29,Sat Mar 2 2013,REG,,North Carolina-Asheville,Big South,W,70,61,,13,16,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Tue Mar 5 2013,CTOURN,N,Radford,Big South,W,60,58,OT,14,16,W 2
31,Thu Mar 7 2013,CTOURN,N,Charleston Southern,Big South,L,47,54,,14,17,L 1
