G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sun Nov 11 2012,REG,,Southeastern Louisiana,Southland,W,87,47,,1,0,W 1
2,Wed Nov 14 2012,REG,@,Florida,SEC,L,56,74,,1,1,L 1
3,Sun Nov 18 2012,REG,,Cornell,Ivy,W,73,40,,2,1,W 1
4,Tue Nov 20 2012,REG,,Presbyterian,Big South,W,88,43,,3,1,W 2
5,Fri Nov 23 2012,REG,N,Creighton,MVC,L,74,84,,3,2,L 1
6,Sat Nov 24 2012,REG,N,Arkansas,SEC,W,77,70,,4,2,W 1
7,Wed Nov 28 2012,REG,,Virginia,ACC,L,54,60,,4,3,L 1
8,Sun Dec 2 2012,REG,,California,Pac-12,W,81,56,,5,3,W 1
9,Tue Dec 4 2012,REG,,Nebraska-Omaha,Summit,W,86,40,,6,3,W 2
10,Sat Dec 8 2012,REG,@,Marquette,Big East,L,50,60,,6,4,L 1
11,Wed Dec 12 2012,REG,,Green Bay,Horizon,W,65,54,,7,4,W 1
12,Sat Dec 22 2012,REG,,Milwaukee,Horizon,W,74,53,,8,4,W 2
13,Sat Dec 29 2012,REG,,Samford,Southern,W,87,51,,9,4,W 3
14,Thu Jan 3 2013,REG,,Penn State,Big Ten,W,60,51,,10,4,W 4
15,Sun Jan 6 2013,REG,@,Nebraska,Big Ten,W,47,41,,11,4,W 5
16,Sat Jan 12 2013,REG,,Illinois,Big Ten,W,74,51,,12,4,W 6
17,Tue Jan 15 2013,REG,@,Indiana,Big Ten,W,64,59,,13,4,W 7
18,Sat Jan 19 2013,REG,@,Iowa,Big Ten,L,66,70,,13,5,L 1
19,Tue Jan 22 2013,REG,,Michigan State,Big Ten,L,47,49,,13,6,L 2
20,Sat Jan 26 2013,REG,,Minnesota,Big Ten,W,45,44,,14,6,W 1
21,Tue Jan 29 2013,REG,@,Ohio State,Big Ten,L,49,58,,14,7,L 1
22,Sun Feb 3 2013,REG,@,Illinois,Big Ten,W,74,68,,15,7,W 1
23,Wed Feb 6 2013,REG,,Iowa,Big Ten,W,74,70,2OT,16,7,W 2
24,Sat Feb 9 2013,REG,,Michigan,Big Ten,W,65,62,OT,17,7,W 3
25,Thu Feb 14 2013,REG,@,Minnesota,Big Ten,L,53,58,OT,17,8,L 1
26,Sun Feb 17 2013,REG,,Ohio State,Big Ten,W,71,49,,18,8,W 1
27,Wed Feb 20 2013,REG,@,Northwestern,Big Ten,W,69,41,,19,8,W 2
28,Tue Feb 26 2013,REG,,Nebraska,Big Ten,W,77,46,,20,8,W 3
29,Sun Mar 3 2013,REG,,Purdue,Big Ten,L,56,69,,20,9,L 1
30,Thu Mar 7 2013,REG,@,Michigan State,Big Ten,L,43,58,,20,10,L 2
31,Sun Mar 10 2013,REG,@,Penn State,Big Ten,W,63,60,,21,10,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Fri Mar 15 2013,CTOURN,N,Michigan,Big Ten,W,68,59,,22,10,W 2
33,Sat Mar 16 2013,CTOURN,N,Indiana,Big Ten,W,68,56,,23,10,W 3
34,Sun Mar 17 2013,CTOURN,N,Ohio State,Big Ten,L,43,50,,23,11,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
35,Fri Mar 22 2013,NCAA,N,Mississippi,SEC,L,46,57,,23,12,L 2
