G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Idaho,WAC,W,80,70,,1,0,W 1
2,Tue Nov 13 2012,REG,@,Eastern Illinois,OVC,W,56,44,,2,0,W 2
3,Fri Nov 16 2012,REG,,North Carolina A&T,MEAC,W,56,44,,3,0,W 3
4,Wed Nov 21 2012,REG,N,Central Michigan,MAC,L,55,59,,3,1,L 1
5,Fri Nov 23 2012,REG,N,Idaho State,Big Sky,W,60,45,,4,1,W 1
6,Sat Nov 24 2012,REG,@,Utah,Pac-12,L,54,66,,4,2,L 1
7,Sat Dec 1 2012,REG,,Morehead State,OVC,W,66,57,,5,2,W 1
8,Mon Dec 3 2012,REG,@,Bowling Green State,MAC,L,41,54,,5,3,L 1
9,Sat Dec 8 2012,REG,,Virginia Military Institute,Big South,W,92,59,,6,3,W 1
10,Sat Dec 15 2012,REG,@,Hofstra,CAA,W,63,57,,7,3,W 2
11,Wed Dec 19 2012,REG,,Miami (OH),MAC,W,67,59,,8,3,W 3
12,Sat Dec 22 2012,REG,@,Cincinnati,Big East,L,58,68,,8,4,L 1
13,Sun Dec 30 2012,REG,,Mount St. Joseph,,W,58,49,,9,4,W 1
14,Thu Jan 3 2013,REG,,Green Bay,Horizon,W,64,53,,10,4,W 2
15,Sat Jan 5 2013,REG,,Milwaukee,Horizon,W,53,51,,11,4,W 3
16,Wed Jan 9 2013,REG,,Cleveland State,Horizon,W,69,53,,12,4,W 4
17,Fri Jan 11 2013,REG,@,Loyola (IL),Horizon,W,62,61,,13,4,W 5
18,Sat Jan 19 2013,REG,@,Valparaiso,Horizon,L,63,69,,13,5,L 1
19,Mon Jan 21 2013,REG,@,Detroit Mercy,Horizon,W,64,62,,14,5,W 1
20,Wed Jan 23 2013,REG,@,Youngstown State,Horizon,L,61,68,,14,6,L 1
21,Sat Jan 26 2013,REG,,Illinois-Chicago,Horizon,L,49,55,,14,7,L 2
22,Wed Jan 30 2013,REG,,Detroit Mercy,Horizon,L,76,83,,14,8,L 3
23,Mon Feb 4 2013,REG,,Loyola (IL),Horizon,W,62,59,,15,8,W 1
24,Thu Feb 7 2013,REG,@,Green Bay,Horizon,W,70,68,2OT,16,8,W 2
25,Sat Feb 9 2013,REG,@,Milwaukee,Horizon,W,64,49,,17,8,W 3
26,Tue Feb 12 2013,REG,,Valparaiso,Horizon,L,61,68,,17,9,L 1
27,Wed Feb 20 2013,REG,@,Cleveland State,Horizon,W,50,41,,18,9,W 1
28,Sat Feb 23 2013,REG,,Evansville,MVC,L,58,70,,18,10,L 1
29,Tue Feb 26 2013,REG,@,Illinois-Chicago,Horizon,L,55,60,,18,11,L 2
30,Sat Mar 2 2013,REG,,Youngstown State,Horizon,W,72,45,,19,11,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Fri Mar 8 2013,CTOURN,N,Youngstown State,Horizon,W,66,59,,20,11,W 2
32,Sat Mar 9 2013,CTOURN,N,Detroit Mercy,Horizon,W,56,54,,21,11,W 3
33,Tue Mar 12 2013,CTOURN,@,Valparaiso,Horizon,L,54,62,,21,12,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
34,Wed Mar 20 2013,CBI,,Tulsa,CUSA,W,72,52,,22,12,W 1
35,Mon Mar 25 2013,CBI,,Richmond,A-10,W,57,51,,23,12,W 2
36,Wed Mar 27 2013,CBI,,Santa Clara,WCC,L,69,81,,23,13,L 1
