G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Fairleigh Dickinson,NEC,W,117,75,,1,0,W 1
2,Tue Nov 13 2012,REG,,Butler,A-10,W,62,47,,2,0,W 2
3,Sat Nov 17 2012,REG,,Robert Morris,NEC,W,61,59,,3,0,W 3
4,Thu Nov 22 2012,REG,N,Pacific,Big West,L,67,70,,3,1,L 1
5,Fri Nov 23 2012,REG,N,Drexel,CAA,W,69,65,,4,1,W 1
6,Sun Nov 25 2012,REG,N,Drake,MVC,W,74,70,,5,1,W 2
7,Sat Dec 1 2012,REG,@,Purdue,Big Ten,W,63,57,,6,1,W 3
8,Thu Dec 6 2012,REG,,Vanderbilt,SEC,L,64,66,OT,6,2,L 1
9,Sun Dec 9 2012,REG,,Kent State,MAC,W,62,55,,7,2,W 1
10,Wed Dec 19 2012,REG,N,Cincinnati,Big East,L,45,60,,7,3,L 1
11,Sat Dec 22 2012,REG,,Wofford,Southern,L,55,56,,7,4,L 2
12,Sat Dec 29 2012,REG,@,Tennessee,SEC,L,47,51,,7,5,L 3
13,Wed Jan 2 2013,REG,@,Wake Forest,ACC,L,59,66,,7,6,L 4
14,Thu Jan 10 2013,REG,,Temple,A-10,W,57,52,,8,6,W 1
15,Sat Jan 12 2013,REG,,George Washington,A-10,W,71,56,,9,6,W 2
16,Wed Jan 16 2013,REG,@,St. Bonaventure,A-10,W,66,64,,10,6,W 3
17,Sat Jan 19 2013,REG,,La Salle,A-10,W,70,63,,11,6,W 4
18,Wed Jan 23 2013,REG,@,Charlotte,A-10,L,57,63,,11,7,L 1
19,Sat Jan 26 2013,REG,@,Saint Joseph's,A-10,L,49,59,,11,8,L 2
20,Wed Jan 30 2013,REG,,Dayton,A-10,W,66,61,,12,8,W 1
21,Sat Feb 2 2013,REG,@,Richmond,A-10,L,71,73,,12,9,L 1
22,Sat Feb 9 2013,REG,@,Duquesne,A-10,W,73,65,,13,9,W 1
23,Wed Feb 13 2013,REG,,Fordham,A-10,W,79,66,,14,9,W 2
24,Sat Feb 16 2013,REG,@,Dayton,A-10,L,59,70,,14,10,L 1
25,Wed Feb 20 2013,REG,@,Rhode Island,A-10,W,55,42,,15,10,W 1
26,Sat Feb 23 2013,REG,,Virginia Commonwealth,A-10,L,71,75,,15,11,L 1
27,Tue Feb 26 2013,REG,,Memphis,CUSA,W,64,62,,16,11,W 1
28,Sat Mar 2 2013,REG,,Massachusetts,A-10,L,72,77,,16,12,L 1
29,Wed Mar 6 2013,REG,,Saint Louis,A-10,W,77,66,OT,17,12,W 1
30,Sat Mar 9 2013,REG,@,Butler,A-10,L,62,67,,17,13,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Thu Mar 14 2013,CTOURN,N,Saint Joseph's,A-10,L,57,58,,17,14,L 2
