G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,N,Sacred Heart,NEC,L,82,85,OT,0,1,L 1
2,Mon Nov 12 2012,REG,@,Saint Joseph's,A-10,L,35,61,,0,2,L 2
3,Fri Nov 16 2012,REG,@,Evansville,MVC,L,56,66,,0,3,L 3
4,Sat Nov 17 2012,REG,N,Buffalo,MAC,W,63,59,,1,3,W 1
5,Sun Nov 18 2012,REG,N,Western Illinois,Summit,L,47,59,,1,4,L 1
6,Wed Nov 21 2012,REG,@,Vermont,AEC,L,52,65,,1,5,L 2
7,Sat Nov 24 2012,REG,,Army,Patriot,W,86,83,2OT,2,5,W 1
8,Thu Nov 29 2012,REG,,Hartford,AEC,L,51,60,,2,6,L 1
9,Wed Dec 5 2012,REG,@,Bryant,NEC,W,64,62,,3,6,W 1
10,Sat Dec 8 2012,REG,@,New Hampshire,AEC,L,56,64,,3,7,L 1
11,Tue Dec 18 2012,REG,,Albertus Magnus,,W,112,63,,4,7,W 1
12,Fri Dec 28 2012,REG,@,Nevada,MWC,L,75,85,,4,8,L 1
13,Sun Dec 30 2012,REG,@,Saint Mary's (CA),WCC,L,62,78,,4,9,L 2
14,Tue Jan 1 2013,REG,@,Iowa State,Big 12,L,70,80,,4,10,L 3
15,Fri Jan 4 2013,REG,@,Holy Cross,Patriot,W,61,54,,5,10,W 1
16,Sun Jan 6 2013,REG,,Florida,SEC,L,58,79,,5,11,L 1
17,Sat Jan 12 2013,REG,,Oberlin,,W,104,39,,6,11,W 1
18,Sat Jan 19 2013,REG,@,Brown,Ivy,L,51,65,,6,12,L 1
19,Sat Jan 26 2013,REG,,Brown,Ivy,W,76,64,OT,7,12,W 1
20,Fri Feb 1 2013,REG,@,Harvard,Ivy,L,64,67,,7,13,L 1
21,Sat Feb 2 2013,REG,@,Dartmouth,Ivy,L,62,71,,7,14,L 2
22,Fri Feb 8 2013,REG,@,Pennsylvania,Ivy,W,68,59,,8,14,W 1
23,Sat Feb 9 2013,REG,@,Princeton,Ivy,W,69,65,,9,14,W 2
24,Fri Feb 15 2013,REG,,Cornell,Ivy,L,61,68,,9,15,L 1
25,Sat Feb 16 2013,REG,,Columbia,Ivy,W,75,56,,10,15,W 1
26,Fri Feb 22 2013,REG,,Dartmouth,Ivy,W,78,67,,11,15,W 2
27,Sat Feb 23 2013,REG,,Harvard,Ivy,L,66,72,,11,16,L 1
28,Fri Mar 1 2013,REG,@,Columbia,Ivy,L,46,59,,11,17,L 2
29,Sat Mar 2 2013,REG,@,Cornell,Ivy,W,79,70,,12,17,W 1
30,Fri Mar 8 2013,REG,,Princeton,Ivy,W,71,66,,13,17,W 2
31,Sat Mar 9 2013,REG,,Pennsylvania,Ivy,W,79,65,,14,17,W 3
