G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,@,George Washington,A-10,W,80,73,,1,0,W 1
2,Mon Nov 12 2012,REG,@,Georgia,SEC,W,68,56,,2,0,W 2
3,Fri Nov 16 2012,REG,,Saint Francis (PA),NEC,W,75,60,,3,0,W 3
4,Mon Nov 19 2012,REG,N,North Dakota State,Summit,L,80,83,OT,3,1,L 1
5,Tue Nov 20 2012,REG,N,James Madison,CAA,L,68,69,,3,2,L 2
6,Wed Nov 21 2012,REG,@,Duquesne,A-10,L,74,84,,3,3,L 3
7,Wed Nov 28 2012,REG,,Kent State,MAC,L,78,85,OT,3,4,L 4
8,Sat Dec 1 2012,REG,@,Bowling Green State,MAC,W,58,49,,4,4,W 1
9,Thu Dec 6 2012,REG,,Geneva,,W,93,50,,5,4,W 2
10,Sat Dec 8 2012,REG,,Hiram,,W,71,44,,6,4,W 3
11,Tue Dec 18 2012,REG,@,South Florida,Big East,L,54,72,,6,5,L 1
12,Fri Dec 21 2012,REG,@,Bethune-Cookman,MEAC,W,67,51,,7,5,W 1
13,Sat Dec 29 2012,REG,,Marygrove,,W,93,52,,8,5,W 2
14,Wed Jan 2 2013,REG,@,Illinois-Chicago,Horizon,L,60,65,,8,6,L 1
15,Sat Jan 5 2013,REG,@,Loyola (IL),Horizon,W,68,66,,9,6,W 1
16,Thu Jan 10 2013,REG,,Detroit Mercy,Horizon,L,60,101,,9,7,L 1
17,Thu Jan 17 2013,REG,@,Green Bay,Horizon,L,58,67,,9,8,L 2
18,Sat Jan 19 2013,REG,@,Milwaukee,Horizon,W,75,72,,10,8,W 1
19,Wed Jan 23 2013,REG,,Wright State,Horizon,W,68,61,,11,8,W 2
20,Sat Jan 26 2013,REG,,Cleveland State,Horizon,W,73,59,,12,8,W 3
21,Wed Jan 30 2013,REG,,Valparaiso,Horizon,W,80,68,,13,8,W 4
22,Fri Feb 1 2013,REG,@,Detroit Mercy,Horizon,L,77,88,,13,9,L 1
23,Tue Feb 5 2013,REG,@,Cleveland State,Horizon,L,60,66,,13,10,L 2
24,Thu Feb 7 2013,REG,,Loyola (IL),Horizon,W,60,59,,14,10,W 1
25,Sun Feb 10 2013,REG,,Illinois-Chicago,Horizon,L,83,88,3OT,14,11,L 1
26,Fri Feb 15 2013,REG,,Milwaukee,Horizon,W,94,80,,15,11,W 1
27,Sun Feb 17 2013,REG,,Green Bay,Horizon,L,54,71,,15,12,L 1
28,Sat Feb 23 2013,REG,,Central Michigan,MAC,W,86,75,,16,12,W 1
29,Tue Feb 26 2013,REG,@,Valparaiso,Horizon,L,64,73,,16,13,L 1
30,Sat Mar 2 2013,REG,@,Wright State,Horizon,L,45,72,,16,14,L 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Tue Mar 5 2013,CTOURN,,Loyola (IL),Horizon,W,62,60,,17,14,W 1
32,Fri Mar 8 2013,CTOURN,N,Wright State,Horizon,L,59,66,,17,15,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
33,Tue Mar 19 2013,CIT,,Oakland,Summit,W,99,87,,18,15,W 1
34,Sat Mar 23 2013,CIT,,Canisius,MAAC,L,82,84,OT,18,16,L 1
