espn-id,conference
2619,america-east
261,america-east
104,america-east
42,america-east
399,america-east
311,america-east
160,america-east
2378,america-east
2066,america-east
139,atlantic-10
2670,atlantic-10
2086,atlantic-10
2325,atlantic-10
218,atlantic-10
113,atlantic-10
2752,atlantic-10
2429,atlantic-10
2603,atlantic-10
257,atlantic-10
2168,atlantic-10
179,atlantic-10
45,atlantic-10
227,atlantic-10
2230,atlantic-10
2184,atlantic-10
2390,acc
150,acc
153,acc
152,acc
258,acc
52,acc
120,acc
103,acc
59,acc
154,acc
228,acc
259,acc
2382,atlantic-sun
526,atlantic-sun
56,atlantic-sun
2908,atlantic-sun
294,atlantic-sun
94,atlantic-sun
2454,atlantic-sun
2193,atlantic-sun
288,atlantic-sun
338,atlantic-sun
2305,big-12
2306,big-12
197,big-12
66,big-12
201,big-12
239,big-12
251,big-12
277,big-12
2641,big-12
2628,big-12
97,big-east
46,big-east
269,big-east
221,big-east
183,big-east
87,big-east
41,big-east
222,big-east
2132,big-east
2507,big-east
2599,big-east
164,big-east
2550,big-east
58,big-east
305,big-east
149,big-sky
2692,big-sky
155,big-sky
147,big-sky
2458,big-sky
16,big-sky
253,big-sky
2464,big-sky
331,big-sky
2502,big-sky
304,big-sky
2272,big-south
2678,big-south
2515,big-south
2097,big-south
2335,big-south
2344,big-south
2127,big-south
2241,big-south
2427,big-south
324,big-south
2737,big-south
2506,big-south
84,big-ten
194,big-ten
127,big-ten
130,big-ten
275,big-ten
2294,big-ten
356,big-ten
135,big-ten
2509,big-ten
158,big-ten
77,big-ten
213,big-ten
299,big-west
279,big-west
13,big-west
300,big-west
62,big-west
302,big-west
2540,big-west
2239,big-west
2463,big-west
27,big-west
