espn_id,sports_ref_id,teamrankings_id
2000,abilene-christian,abilene-christian-wildcats
2005,air-force,air-force-falcons
2006,akron,akron-zips
333,alabama,alabama-crimson-tide
2010,alabama-am,alabama-am-bulldogs
2011,alabama-state,alabama-st-hornets
399,albany-ny,albany-great-danes
2016,alcorn-state,alcorn-st-braves
44,american,american-u-eagles
2026,appalachian-state,appalachian-st-mountaineers
12,arizona,arizona-wildcats
9,arizona-state,arizona-st-sun-devils
8,arkansas,arkansas-razorbacks
2031,arkansas-little-rock,arkansas-little-rock-trojans
2029,arkansas-pine-bluff,arkansas-pine-bluff-golden-lions
2032,arkansas-state,arkansas-st-red-wolves
349,army,army-black-knights
2,auburn,auburn-tigers
2046,austin-peay,austin-peay-governors
2050,ball-state,ball-st-cardinals
239,baylor,baylor-bears
2057,belmont,belmont-bruins
2065,bethune-cookman,bethune-cookman-wildcats
2066,binghamton,binghamton-bearcats
68,boise-state,boise-st-broncos
103,boston-college,boston-college-eagles
104,boston-university,boston-u-terriers
189,bowling-green-state,bowling-green-falcons
71,bradley,bradley-braves
252,brigham-young,brigham-young-cougars
2341,brooklyn,liu-brooklyn-blackbirds
225,brown,brown-bears
2803,bryant,bryant-bulldogs
2083,bucknell,bucknell-bison
2084,buffalo,buffalo-bulls
2086,butler,butler-bulldogs
13,cal-poly,cal-poly-slo-mustangs
2934,cal-state-bakersfield,cal-state-bakersfield-roadrunners
2239,cal-state-fullerton,cal-st-fullerton-titans
2463,cal-state-northridge,csu-northridge-matadors
25,california,california-golden-bears
302,california-davis,uc-davis-aggies
300,california-irvine,uc-irvine-anteaters
27,california-riverside,uc-riverside-highlanders
2540,california-santa-barbara,uc-santa-barbara-gauchos
2097,campbell,campbell-fighting-camels
2099,canisius,canisius-golden-griffins
2110,central-arkansas,central-arkansas-bears
2115,central-connecticut-state,central-conn-st-blue-devils
2117,central-michigan,central-michigan-chippewas
2127,charleston-southern,charleston-southern-buccaneers
2429,charlotte,charlotte-49ers
236,chattanooga,chattanooga-mocs
2130,chicago-state,chicago-st-cougars
2132,cincinnati,cincinnati-bearcats
2643,citadel,citadel-bulldogs
228,clemson,clemson-tigers
325,cleveland-state,cleveland-st-vikings
324,coastal-carolina,coastal-carolina-chanticleers
2142,colgate,charleston-cougars
232,college-of-charleston,colgate-raiders
38,colorado,colorado-buffaloes
36,colorado-state,colorado-st-rams
171,columbia,columbia-lions
41,connecticut,connecticut-huskies
2154,coppin-state,coppin-st-eagles
172,cornell,cornell-big-red
156,creighton,creighton-bluejays
159,dartmouth,dartmouth-big-green
2166,davidson,davidson-wildcats
2168,dayton,dayton-flyers
48,delaware,delaware-blue-hens
2169,delaware-state,delaware-state-hornets
2172,denver,denver-pioneers
305,depaul,depaul-blue-demons
2174,detroit-mercy,detroit-titans
2181,drake,drake-bulldogs
2182,drexel,drexel-dragons
150,duke,duke-blue-devils
2184,duquesne,duquesne-dukes
151,east-carolina,east-carolina-pirates
2193,east-tennessee-state,eastern-illinois-panthers
2197,eastern-illinois,eastern-kentucky-colonels
2198,eastern-kentucky,eastern-michigan-eagles
2199,eastern-michigan,east-tennessee-st-buccaneers
331,eastern-washington,eastern-washington-eagles
2210,elon,elon-university-phoenix
339,evansville,evansville-purple-aces
2217,fairfield,fairfield-stags
