team_id,conf_abbrev,conf_friendly,conf_id
houston-baptist,GWC,Great West,great-west
houston,CUSA,Conference USA,cusa
howard,MEAC,Mid-Eastern Athletic,meac
idaho-state,Big Sky,Big Sky,big-sky
idaho,WAC,Western Athletic,wac
illinois-chicago,Horizon,Horizon League,horizon
illinois-state,MVC,Missouri Valley,mvc
illinois,Big Ten,Big Ten,big-ten
indiana-state,MVC,Missouri Valley,mvc
indiana,Big Ten,Big Ten,big-ten
iona,MAAC,Metro Atlantic Athletic,maac
iowa-state,Big 12,Big 12,big-12
iowa,Big Ten,Big Ten,big-ten
ipfw,Summit,Summit League,summit
iupui,Summit,Summit League,summit
jackson-state,SWAC,Southwest Athletic,swac
jacksonville-state,OVC,Ohio Valley,ovc
jacksonville,A-Sun,Atlantic Sun,atlantic-sun
james-madison,CAA,Colonial Athletic Association,colonial
kansas-state,Big 12,Big 12,big-12
kansas,Big 12,Big 12,big-12
kennesaw-state,A-Sun,Atlantic Sun,atlantic-sun
kent-state,MAC,Mid-American,mac
kentucky,SEC,Southeastern,sec
la-salle,A-10,Atlantic 10,atlantic-10
lafayette,Patriot,Patriot League,patriot
lamar,Southland,Southland,southland
lehigh,Patriot,Patriot League,patriot
liberty,Big South,Big South,big-south
lipscomb,A-Sun,Atlantic Sun,atlantic-sun
long-beach-state,Big West,Big West,big-west
long-island-university,NEC,Northeast,northeast
longwood,Big South,Big South,big-south
louisiana-lafayette,Sun Belt,Sun Belt,sun-belt
louisiana-monroe,Sun Belt,Sun Belt,sun-belt
louisiana-state,SEC,Southeastern,sec
louisiana-tech,WAC,Western Athletic,wac
louisville,Big East,Big East,big-east
loyola-il,Horizon,Horizon League,horizon
loyola-marymount,WCC,West Coast,wcc
loyola-md,MAAC,Metro Atlantic Athletic,maac
maine,AEC,America East,america-east
manhattan,MAAC,Metro Atlantic Athletic,maac
marist,MAAC,Metro Atlantic Athletic,maac
marquette,Big East,Big East,big-east
marshall,CUSA,Conference USA,cusa
maryland-baltimore-county,AEC,America East,america-east
maryland-eastern-shore,MEAC,Mid-Eastern Athletic,meac
maryland,ACC,Atlantic Coast,acc
massachusetts,A-10,Atlantic 10,atlantic-10
mcneese-state,Southland,Southland,southland
memphis,CUSA,Conference USA,cusa
mercer,A-Sun,Atlantic Sun,atlantic-sun
miami-fl,ACC,Atlantic Coast,acc
miami-oh,MAC,Mid-American,mac
michigan-state,Big Ten,Big Ten,big-ten
michigan,Big Ten,Big Ten,big-ten
middle-tennessee,Sun Belt,Sun Belt,sun-belt
milwaukee,Horizon,Horizon League,horizon
minnesota,Big Ten,Big Ten,big-ten
mississippi-state,SEC,Southeastern,sec
mississippi-valley-state,SWAC,Southwest Athletic,swac
mississippi,SEC,Southeastern,sec
missouri-kansas-city,Summit,Summit League,summit
missouri-state,MVC,Missouri Valley,mvc
missouri,SEC,Southeastern,sec
monmouth,NEC,Northeast,northeast
montana-state,Big Sky,Big Sky,big-sky
montana,Big Sky,Big Sky,big-sky
morehead-state,OVC,Ohio Valley,ovc
morgan-state,MEAC,Mid-Eastern Athletic,meac
mount-st-marys,NEC,Northeast,northeast
murray-state,OVC,Ohio Valley,ovc
navy,Patriot,Patriot League,patriot
nebraska-omaha,Summit,Summit League,summit
nebraska,Big Ten,Big Ten,big-ten
nevada-las-vegas,MWC,Mountain West,mwc
nevada,MWC,Mountain West,mwc
new-hampshire,AEC,America East,america-east
new-mexico-state,WAC,Western Athletic,wac
new-mexico,MWC,Mountain West,mwc
niagara,MAAC,Metro Atlantic Athletic,maac
nicholls-state,Southland,Southland,southland
njit,GWC,Great West,great-west
norfolk-state,MEAC,Mid-Eastern Athletic,meac
north-carolina-asheville,Big South,Big South,big-south
north-carolina-at,MEAC,Mid-Eastern Athletic,meac
north-carolina-central,MEAC,Mid-Eastern Athletic,meac
north-carolina-greensboro,Southern,Southern,southern
north-carolina-state,ACC,Atlantic Coast,acc
north-carolina-wilmington,CAA,Colonial Athletic Association,colonial
north-carolina,ACC,Atlantic Coast,acc
north-dakota-state,Summit,Summit League,summit
north-dakota,Big Sky,Big Sky,big-sky
north-florida,A-Sun,Atlantic Sun,atlantic-sun
north-texas,Sun Belt,Sun Belt,sun-belt
northeastern,CAA,Colonial Athletic Association,colonial
northern-arizona,Big Sky,Big Sky,big-sky
northern-colorado,Big Sky,Big Sky,big-sky
northern-illinois,MAC,Mid-American,mac
northern-iowa,MVC,Missouri Valley,mvc
northern-kentucky,A-Sun,Atlantic Sun,atlantic-sun
northwestern-state,Southland,Southland,southland
northwestern,Big Ten,Big Ten,big-ten
notre-dame,Big East,Big East,big-east
oakland,Summit,Summit League,summit
ohio-state,Big Ten,Big Ten,big-ten
ohio,MAC,Mid-American,mac
oklahoma-state,Big 12,Big 12,big-12
oklahoma,Big 12,Big 12,big-12
old-dominion,CAA,Colonial Athletic Association,colonial
oral-roberts,Southland,Southland,southland
oregon-state,Pac-12,Pacific-12,pac-12
oregon,Pac-12,Pacific-12,pac-12
pacific,Big West,Big West,big-west
penn-state,Big Ten,Big Ten,big-ten
pennsylvania,Ivy,Ivy Group,ivy
pepperdine,WCC,West Coast,wcc
pittsburgh,Big East,Big East,big-east
portland-state,Big Sky,Big Sky,big-sky
portland,WCC,West Coast,wcc
prairie-view,SWAC,Southwest Athletic,swac
presbyterian,Big South,Big South,big-south
princeton,Ivy,Ivy Group,ivy
providence,Big East,Big East,big-east
purdue,Big Ten,Big Ten,big-ten
quinnipiac,NEC,Northeast,northeast
radford,Big South,Big South,big-south
rhode-island,A-10,Atlantic 10,atlantic-10
rice,CUSA,Conference USA,cusa
richmond,A-10,Atlantic 10,atlantic-10
rider,MAAC,Metro Atlantic Athletic,maac
robert-morris,NEC,Northeast,northeast
rutgers,Big East,Big East,big-east
sacramento-state,Big Sky,Big Sky,big-sky
sacred-heart,NEC,Northeast,northeast
saint-francis-pa,NEC,Northeast,northeast
saint-josephs,A-10,Atlantic 10,atlantic-10
